PositionDesc,PlayerId,FirstName,LastName,Score,RoundNo,Strokes,HolesPlayed,IncompleteHoles,Match
64,293,Padraig,HARRINGTON,8,2,71,18,0,4
64,293,Padraig,HARRINGTON,8,1,74,18,0,4
64,293,Padraig,HARRINGTON,8,3,73,18,0,4
64,293,Padraig,HARRINGTON,8,4,74,18,0,4
23,1229,Stewart,CINK,0,1,68,18,0,21
23,1229,Stewart,CINK,0,2,73,18,0,21
23,1229,Stewart,CINK,0,3,71,18,0,21
23,1229,Stewart,CINK,0,4,72,18,0,21
92,1941,Justin,ROSE,6,1,74,18,0,19
92,1941,Justin,ROSE,6,2,74,18,0,19
13,2090,Henrik,STENSON,-3,4,69,18,0,21
13,2090,Henrik,STENSON,-3,3,71,18,0,21
13,2090,Henrik,STENSON,-3,2,68,18,0,21
13,2090,Henrik,STENSON,-3,1,73,18,0,21
33,3108,Richard,BLAND,1,4,73,18,0,22
33,3108,Richard,BLAND,1,3,71,18,0,22
33,3108,Richard,BLAND,1,2,71,18,0,22
33,3108,Richard,BLAND,1,1,70,18,0,22
92,3289,Francesco,MOLINARI,6,1,73,18,0,12
92,3289,Francesco,MOLINARI,6,2,75,18,0,12
41,3467,Marcel,SIEM,2,1,71,18,0,8
41,3467,Marcel,SIEM,2,2,71,18,0,8
41,3467,Marcel,SIEM,2,3,74,18,0,8
41,3467,Marcel,SIEM,2,4,70,18,0,8
129,5576,Ernie,ELS,10,1,75,18,0,38
129,5576,Ernie,ELS,10,2,77,18,0,38
120,5889,Darren,CLARKE,8,1,73,18,0,33
120,5889,Darren,CLARKE,8,2,77,18,0,33
125,9118,Phil,MICKELSON,9,2,74,18,0,21
125,9118,Phil,MICKELSON,9,1,77,18,0,21
140,9205,John,DALY,12,1,77,18,0,14
140,9205,John,DALY,12,2,77,18,0,14
33,30717,Adam,SCOTT,1,4,69,18,0,10
33,30717,Adam,SCOTT,1,3,71,18,0,10
33,30717,Adam,SCOTT,1,2,73,18,0,10
33,30717,Adam,SCOTT,1,1,72,18,0,10
23,31575,Alex,NOREN,0,1,68,18,0,14
23,31575,Alex,NOREN,0,2,75,18,0,14
23,31575,Alex,NOREN,0,3,71,18,0,14
23,31575,Alex,NOREN,0,4,70,18,0,14
135,31724,Marc,WARREN,11,2,74,18,0,22
135,31724,Marc,WARREN,11,1,79,18,0,22
108,32014,Charl,SCHWARTZEL,7,2,72,18,0,30
108,32014,Charl,SCHWARTZEL,7,1,77,18,0,30
23,32015,Louis,OOSTHUIZEN,0,1,74,18,0,13
23,32015,Louis,OOSTHUIZEN,0,2,70,18,0,13
23,32015,Louis,OOSTHUIZEN,0,3,71,18,0,13
23,32015,Louis,OOSTHUIZEN,0,4,69,18,0,13
140,32110,Alejandro,CAÑIZARES,12,1,75,18,0,22
140,32110,Alejandro,CAÑIZARES,12,2,79,18,0,22
33,33164,Oliver,WILSON,1,4,71,18,0,15
33,33164,Oliver,WILSON,1,3,71,18,0,15
33,33164,Oliver,WILSON,1,2,74,18,0,15
33,33164,Oliver,WILSON,1,1,69,18,0,15
55,33327,Zach,JOHNSON,5,4,74,18,0,12
55,33327,Zach,JOHNSON,5,3,71,18,0,12
55,33327,Zach,JOHNSON,5,2,69,18,0,12
55,33327,Zach,JOHNSON,5,1,75,18,0,12
77,33337,Pablo,LARRAZÁBAL,4,1,72,18,0,31
77,33337,Pablo,LARRAZÁBAL,4,2,74,18,0,31
2,33932,Jason,DAY,-7,4,69,15,0,36
2,33932,Jason,DAY,-7,3,69,18,0,36
2,33932,Jason,DAY,-7,2,67,18,0,36
2,33932,Jason,DAY,-7,1,72,18,0,36
6,34024,Rory,MCILROY,-6,1,71,18,0,31
6,34024,Rory,MCILROY,-6,2,70,18,0,31
6,34024,Rory,MCILROY,-6,3,69,18,0,31
6,34024,Rory,MCILROY,-6,4,68,18,0,31
77,34055,Seamus,POWER,4,1,71,18,0,41
77,34055,Seamus,POWER,4,2,75,18,0,41
71,34085,Joost,LUITEN,10,2,72,18,0,16
71,34085,Joost,LUITEN,10,1,71,18,0,16
71,34085,Joost,LUITEN,10,3,71,18,0,16
71,34085,Joost,LUITEN,10,4,80,18,0,16
92,34737,Billy,HORSCHEL,6,1,73,18,0,8
92,34737,Billy,HORSCHEL,6,2,75,18,0,8
64,34772,Richie,RAMSAY,8,2,72,18,0,9
64,34772,Richie,RAMSAY,8,1,73,18,0,9
64,34772,Richie,RAMSAY,8,3,71,18,0,9
64,34772,Richie,RAMSAY,8,4,76,18,0,9
129,35068,Branden,GRACE,10,1,73,18,0,27
129,35068,Branden,GRACE,10,2,79,18,0,27
52,35122,Ryan,FOX,4,1,78,18,0,18
